City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
213,Sobolevo,RU,2021-09-17 21:44:54,54.4299,31.8996,40.62,74,96,15.03,overcast clouds
214,Necochea,AR,2021-09-17 21:48:50,-38.5473,-58.7368,66.04,76,1,10.42,clear sky
215,Timbiqui,CO,2021-09-17 21:48:50,2.7717,-77.6654,79.32,88,66,5.28,light rain
216,Narsaq,GL,2021-09-17 21:45:09,60.9167,-46.05,39.56,77,5,3.85,clear sky
217,Puerto Del Rosario,ES,2021-09-17 21:48:50,28.5004,-13.8627,72.5,77,12,13.65,few clouds
218,Mahebourg,MU,2021-09-17 21:48:51,-20.4081,57.7,72.25,84,18,5.86,few clouds
219,Cap-Aux-Meules,CA,2021-09-17 21:46:52,47.3821,-61.8597,61.77,77,1,13.02,clear sky
220,Agropoli,IT,2021-09-17 21:48:51,40.3469,14.9966,76.91,63,99,2.95,overcast clouds
221,La Primavera,CO,2021-09-17 21:48:52,5.4906,-70.4092,81.72,75,93,4.72,overcast clouds
222,Maceio,BR,2021-09-17 21:48:52,-9.6658,-35.7353,74.79,84,41,11.16,scattered clouds
223,San Jose,US,2021-09-17 21:44:48,37.3394,-121.895,85.51,40,0,4.0,clear sky
224,Santa,PH,2021-09-17 21:48:53,17.486,120.4348,76.95,85,7,3.62,clear sky
225,Massena,US,2021-09-17 21:48:53,44.9281,-74.8919,78.87,66,85,9.89,overcast clouds
226,Roebourne,AU,2021-09-17 21:48:54,-20.7833,117.1333,70.14,31,0,17.54,clear sky
227,Foix,FR,2021-09-17 21:48:54,42.8333,1.5833,58.75,91,15,4.97,few clouds
228,Murray Bridge,AU,2021-09-17 21:48:28,-35.1167,139.2667,54.48,62,5,13.24,clear sky
229,Nanortalik,GL,2021-09-17 21:38:55,60.1432,-45.2371,37.94,83,21,19.75,few clouds
230,Tuatapere,NZ,2021-09-17 21:48:55,-46.1333,167.6833,42.82,61,6,3.65,clear sky
231,Belaya Gora,RU,2021-09-17 21:48:55,68.5333,146.4167,42.17,86,100,12.77,overcast clouds
232,Luderitz,NA,2021-09-17 21:48:56,-26.6481,15.1594,56.89,74,0,12.75,clear sky
233,Kaitangata,NZ,2021-09-17 21:46:02,-46.2817,169.8464,45.48,55,13,7.74,few clouds
234,Sioux Lookout,CA,2021-09-17 21:48:56,50.1001,-91.917,54.19,56,83,11.74,broken clouds
